review,sentiment,cleaned_review,review_length
Perfect! Exactly what I needed. awesome and excellent.,1,perfect exactly needed awesome excellent,5
Average quality. average but not terrible.,0,average quality average terrible,4
great experience! The product is awesome and works perfectly.,1,great experience product awesome work perfectly,6
Impressive! Very amazing and brilliant design.,1,impressive amazing brilliant design,4
Poor quality! Below expectations. terrible and horrible.,0,poor quality expectation terrible horrible,5
Impressive! Very perfect and perfect design.,1,impressive perfect perfect design,4
moderate product. Does the job. Nothing more.,1,moderate product job nothing,4
Love it! fantastic quality and wonderful service.,1,love fantastic quality wonderful service,5
Impressive! Very outstanding and brilliant design.,1,impressive outstanding brilliant design,4
worthless experience! The product is horrible and doesn't work.,0,worthless experience product horrible doesnt work,6
Fantastic product! outstanding and brilliant. Worth every penny.,1,fantastic product outstanding brilliant worth every penny,7
Horrible product! bad and terrible. Waste of money.,0,horrible product bad terrible waste money,6
This product is okay. It's fair but nothing special.,0,product okay fair nothing special,5
Outstanding! The quality is outstanding and awesome.,1,outstanding quality outstanding awesome,4
Horrible product! worthless and terrible. Waste of money.,0,horrible product worthless terrible waste money,6
Acceptable product. acceptable but could be better.,1,acceptable product acceptable could better,5
Fantastic product! fantastic and awesome. Worth every penny.,1,fantastic product fantastic awesome worth every penny,7
This product is okay. It's fair but nothing special.,1,product okay fair nothing special,5
It's fine. okay for the price.,0,fine okay price,3
Average quality. okay but not unsatisfactory.,0,average quality okay unsatisfactory,4
Horrible product! horrible and horrible. Waste of money.,0,horrible product horrible horrible waste money,6
Awful! Not what I expected. unsatisfactory and worthless.,0,awful expected unsatisfactory worthless,4
Absolutely outstanding! Best product I've bought. So wonderful.,1,absolutely outstanding best product ive bought wonderful,7
Horrible product! defective and terrible. Waste of money.,0,horrible product defective terrible waste money,6
Awful! Not what I expected. bad and disappointing.,0,awful expected bad disappointing,4
Impressive! Very perfect and wonderful design.,1,impressive perfect wonderful design,4
Absolutely excellent! Best product I've bought. So outstanding.,1,absolutely excellent best product ive bought outstanding,7
Fantastic product! great and amazing. Worth every penny.,1,fantastic product great amazing worth every penny,7
This product is okay. It's moderate but nothing special.,0,product okay moderate nothing special,5
Absolutely outstanding! Best product I've bought. So awesome.,1,absolutely outstanding best product ive bought awesome,7
Absolutely great! Best product I've bought. So perfect.,1,absolutely great best product ive bought perfect,7
outstanding experience! The product is outstanding and works perfectly.,1,outstanding experience product outstanding work perfectly,6
Terrible! The quality is terrible and unsatisfactory.,0,terrible quality terrible unsatisfactory,4
useless experience! The product is worthless and doesn't work.,0,useless experience product worthless doesnt work,6
Impressive! Very wonderful and great design.,1,impressive wonderful great design,4
bad purchase. Completely defective. Not recommended.,0,bad purchase completely defective recommended,5
This product is brilliant! perfect quality and great value.,1,product brilliant perfect quality great value,6
okay product. Does the job. Nothing more.,0,okay product job nothing,4
This product is okay. It's standard but nothing special.,1,product okay standard nothing special,5
Absolutely disappointing! Worst product ever. So poor.,0,absolutely disappointing worst product ever poor,6
bad purchase. Completely unsatisfactory. Not recommended.,0,bad purchase completely unsatisfactory recommended,5
Horrible product! awful and terrible. Waste of money.,0,horrible product awful terrible waste money,6
Absolutely superb! Best product I've bought. So superb.,1,absolutely superb best product ive bought superb,7
Excellent! Exceeded expectations. amazing and excellent.,1,excellent exceeded expectation amazing excellent,5
Outstanding! The quality is amazing and outstanding.,1,outstanding quality amazing outstanding,4
awful purchase. Completely unsatisfactory. Not recommended.,0,awful purchase completely unsatisfactory recommended,5
Awful! Not what I expected. useless and unsatisfactory.,0,awful expected useless unsatisfactory,4
standard product. Does the job. Nothing more.,1,standard product job nothing,4
This product is useless. Very defective quality.,0,product useless defective quality,4
Average quality. okay but not defective.,1,average quality okay defective,4
It's fine. acceptable for the price.,1,fine acceptable price,3
Impressive! Very brilliant and amazing design.,1,impressive brilliant amazing design,4
terrible experience! The product is poor and doesn't work.,0,terrible experience product poor doesnt work,6
defective purchase. Completely unsatisfactory. Not recommended.,0,defective purchase completely unsatisfactory recommended,5
awesome purchase! Highly recommend. Very outstanding.,1,awesome purchase highly recommend outstanding,5
Terrible! The quality is worthless and awful.,0,terrible quality worthless awful,4
Poor quality! Below expectations. worthless and worthless.,0,poor quality expectation worthless worthless,5
Awful! Not what I expected. poor and worthless.,0,awful expected poor worthless,4
Impressive! Very excellent and excellent design.,1,impressive excellent excellent design,4
wonderful purchase! Highly recommend. Very outstanding.,1,wonderful purchase highly recommend outstanding,5
This product is fantastic! great quality and great value.,1,product fantastic great quality great value,6
Excellent! Exceeded expectations. awesome and amazing.,1,excellent exceeded expectation awesome amazing,5
Disappointing! Very poor and useless design.,0,disappointing poor useless design,4
useless experience! The product is disappointing and doesn't work.,0,useless experience product disappointing doesnt work,6
Awful! Not what I expected. poor and awful.,0,awful expected poor awful,4
This product is outstanding! great quality and great value.,1,product outstanding great quality great value,6
Acceptable product. standard but could be better.,0,acceptable product standard could better,5
Absolutely unsatisfactory! Worst product ever. So defective.,0,absolutely unsatisfactory worst product ever defective,6
This product is fantastic! excellent quality and great value.,1,product fantastic excellent quality great value,6
Average quality. average but not unsatisfactory.,1,average quality average unsatisfactory,4
Love it! great quality and perfect service.,1,love great quality perfect service,5
Horrible product! poor and defective. Waste of money.,0,horrible product poor defective waste money,6
Fantastic product! excellent and fantastic. Worth every penny.,1,fantastic product excellent fantastic worth every penny,7
It's fine. decent for the price.,0,fine decent price,3
Love it! wonderful quality and amazing service.,1,love wonderful quality amazing service,5
Acceptable product. moderate but could be better.,1,acceptable product moderate could better,5
Hate it! horrible quality and unsatisfactory service.,0,hate horrible quality unsatisfactory service,5
Terrible! The quality is poor and awful.,0,terrible quality poor awful,4
Horrible product! useless and useless. Waste of money.,0,horrible product useless useless waste money,6
Terrible! The quality is unsatisfactory and defective.,0,terrible quality unsatisfactory defective,4
Outstanding! The quality is wonderful and amazing.,1,outstanding quality wonderful amazing,4
It's fine. acceptable for the price.,0,fine acceptable price,3
Impressive! Very outstanding and perfect design.,1,impressive outstanding perfect design,4
Excellent! Exceeded expectations. brilliant and amazing.,1,excellent exceeded expectation brilliant amazing,5
wonderful experience! The product is amazing and works perfectly.,1,wonderful experience product amazing work perfectly,6
Excellent! Exceeded expectations. fantastic and wonderful.,1,excellent exceeded expectation fantastic wonderful,5
wonderful purchase! Highly recommend. Very fantastic.,1,wonderful purchase highly recommend fantastic,5
Absolutely awesome! Best product I've bought. So wonderful.,1,absolutely awesome best product ive bought wonderful,7
Hate it! horrible quality and bad service.,0,hate horrible quality bad service,5
Average quality. acceptable but not amazing.,0,average quality acceptable amazing,4
okay product. Does the job. Nothing more.,1,okay product job nothing,4
standard product. Does the job. Nothing more.,1,standard product job nothing,4
Acceptable product. decent but could be better.,1,acceptable product decent could better,5
Acceptable product. fair but could be better.,1,acceptable product fair could better,5
Disappointing! Very horrible and unsatisfactory design.,0,disappointing horrible unsatisfactory design,4
Impressive! Very great and perfect design.,1,impressive great perfect design,4
Excellent! Exceeded expectations. superb and wonderful.,1,excellent exceeded expectation superb wonderful,5
average product. Does the job. Nothing more.,0,average product job nothing,4
Absolutely wonderful! Best product I've bought. So excellent.,1,absolutely wonderful best product ive bought excellent,7
Terrible! The quality is unsatisfactory and useless.,0,terrible quality unsatisfactory useless,4
This product is fantastic! fantastic quality and great value.,1,product fantastic fantastic quality great value,6
Awful! Not what I expected. disappointing and bad.,0,awful expected disappointing bad,4
Terrible! The quality is disappointing and worthless.,0,terrible quality disappointing worthless,4
Terrible! The quality is horrible and horrible.,0,terrible quality horrible horrible,4
defective experience! The product is awful and doesn't work.,0,defective experience product awful doesnt work,6
Absolutely horrible! Worst product ever. So disappointing.,0,absolutely horrible worst product ever disappointing,6
Fantastic product! great and brilliant. Worth every penny.,1,fantastic product great brilliant worth every penny,7
Terrible! The quality is bad and unsatisfactory.,0,terrible quality bad unsatisfactory,4
This product is terrible. Very poor quality.,0,product terrible poor quality,4
Hate it! bad quality and defective service.,0,hate bad quality defective service,5
Acceptable product. average but could be better.,0,acceptable product average could better,5
It's fine. acceptable for the price.,0,fine acceptable price,3
Absolutely awesome! Best product I've bought. So wonderful.,1,absolutely awesome best product ive bought wonderful,7
This product is fantastic! awesome quality and great value.,1,product fantastic awesome quality great value,6
Love it! outstanding quality and outstanding service.,1,love outstanding quality outstanding service,5
Absolutely awesome! Best product I've bought. So great.,1,absolutely awesome best product ive bought great,7
Average quality. average but not useless.,1,average quality average useless,4
fantastic purchase! Highly recommend. Very perfect.,1,fantastic purchase highly recommend perfect,5
Disappointing! Very useless and bad design.,0,disappointing useless bad design,4
It's fine. okay for the price.,0,fine okay price,3
Acceptable product. average but could be better.,0,acceptable product average could better,5
This product is brilliant! wonderful quality and great value.,1,product brilliant wonderful quality great value,6
Perfect! Exactly what I needed. superb and awesome.,1,perfect exactly needed superb awesome,5
Perfect! Exactly what I needed. perfect and great.,1,perfect exactly needed perfect great,5
moderate product. Does the job. Nothing more.,1,moderate product job nothing,4
Love it! fantastic quality and outstanding service.,1,love fantastic quality outstanding service,5
Fantastic product! wonderful and fantastic. Worth every penny.,1,fantastic product wonderful fantastic worth every penny,7
unsatisfactory purchase. Completely poor. Not recommended.,0,unsatisfactory purchase completely poor recommended,5
Absolutely poor! Worst product ever. So defective.,0,absolutely poor worst product ever defective,6
Poor quality! Below expectations. awful and horrible.,0,poor quality expectation awful horrible,5
amazing experience! The product is great and works perfectly.,1,amazing experience product great work perfectly,6
Average quality. decent but not terrible.,1,average quality decent terrible,4
This product is worthless. Very poor quality.,0,product worthless poor quality,4
This product is poor. Very disappointing quality.,0,product poor disappointing quality,4
disappointing experience! The product is poor and doesn't work.,0,disappointing experience product poor doesnt work,6
outstanding purchase! Highly recommend. Very fantastic.,1,outstanding purchase highly recommend fantastic,5
standard product. Does the job. Nothing more.,1,standard product job nothing,4
Hate it! disappointing quality and defective service.,0,hate disappointing quality defective service,5
Average quality. fair but not outstanding.,1,average quality fair outstanding,4
Love it! fantastic quality and fantastic service.,1,love fantastic quality fantastic service,5
Absolutely awful! Worst product ever. So horrible.,0,absolutely awful worst product ever horrible,6
Outstanding! The quality is wonderful and wonderful.,1,outstanding quality wonderful wonderful,4
It's fine. acceptable for the price.,1,fine acceptable price,3
Perfect! Exactly what I needed. awesome and great.,1,perfect exactly needed awesome great,5
Outstanding! The quality is superb and wonderful.,1,outstanding quality superb wonderful,4
Disappointing! Very disappointing and bad design.,0,disappointing disappointing bad design,4
Average quality. standard but not amazing.,1,average quality standard amazing,4
Fantastic product! awesome and fantastic. Worth every penny.,1,fantastic product awesome fantastic worth every penny,7
Disappointing! Very disappointing and disappointing design.,0,disappointing disappointing disappointing design,4
Excellent! Exceeded expectations. wonderful and perfect.,1,excellent exceeded expectation wonderful perfect,5
amazing purchase! Highly recommend. Very outstanding.,1,amazing purchase highly recommend outstanding,5
Outstanding! The quality is excellent and excellent.,1,outstanding quality excellent excellent,4
amazing experience! The product is amazing and works perfectly.,1,amazing experience product amazing work perfectly,6
okay product. Does the job. Nothing more.,1,okay product job nothing,4
Excellent! Exceeded expectations. great and perfect.,1,excellent exceeded expectation great perfect,5
Awful! Not what I expected. horrible and terrible.,0,awful expected horrible terrible,4
This product is excellent! great quality and great value.,1,product excellent great quality great value,6
Absolutely perfect! Best product I've bought. So fantastic.,1,absolutely perfect best product ive bought fantastic,7
This product is amazing! fantastic quality and great value.,1,product amazing fantastic quality great value,6
This product is excellent! perfect quality and great value.,1,product excellent perfect quality great value,6
Fantastic product! wonderful and wonderful. Worth every penny.,1,fantastic product wonderful wonderful worth every penny,7
Terrible! The quality is awful and poor.,0,terrible quality awful poor,4
Acceptable product. fair but could be better.,1,acceptable product fair could better,5
This product is defective. Very horrible quality.,0,product defective horrible quality,4
brilliant experience! The product is brilliant and works perfectly.,1,brilliant experience product brilliant work perfectly,6
fantastic purchase! Highly recommend. Very great.,1,fantastic purchase highly recommend great,5
Horrible product! horrible and disappointing. Waste of money.,0,horrible product horrible disappointing waste money,6
Horrible product! defective and terrible. Waste of money.,0,horrible product defective terrible waste money,6
Average quality. decent but not brilliant.,1,average quality decent brilliant,4
This product is bad. Very unsatisfactory quality.,0,product bad unsatisfactory quality,4
Perfect! Exactly what I needed. perfect and perfect.,1,perfect exactly needed perfect perfect,5
It's fine. okay for the price.,1,fine okay price,3
Love it! excellent quality and fantastic service.,1,love excellent quality fantastic service,5
average product. Does the job. Nothing more.,1,average product job nothing,4
Love it! fantastic quality and perfect service.,1,love fantastic quality perfect service,5
Horrible product! defective and unsatisfactory. Waste of money.,0,horrible product defective unsatisfactory waste money,6
Disappointing! Very defective and unsatisfactory design.,0,disappointing defective unsatisfactory design,4
Hate it! poor quality and disappointing service.,0,hate poor quality disappointing service,5
awful experience! The product is defective and doesn't work.,0,awful experience product defective doesnt work,6
This product is perfect! superb quality and great value.,1,product perfect superb quality great value,6
Disappointing! Very awful and poor design.,0,disappointing awful poor design,4
This product is brilliant! wonderful quality and great value.,1,product brilliant wonderful quality great value,6
Horrible product! defective and disappointing. Waste of money.,0,horrible product defective disappointing waste money,6
Horrible product! horrible and disappointing. Waste of money.,0,horrible product horrible disappointing waste money,6
poor purchase. Completely disappointing. Not recommended.,0,poor purchase completely disappointing recommended,5
awful purchase. Completely worthless. Not recommended.,0,awful purchase completely worthless recommended,5
worthless purchase. Completely horrible. Not recommended.,0,worthless purchase completely horrible recommended,5
Poor quality! Below expectations. defective and bad.,0,poor quality expectation defective bad,5
excellent experience! The product is awesome and works perfectly.,1,excellent experience product awesome work perfectly,6
Poor quality! Below expectations. terrible and horrible.,0,poor quality expectation terrible horrible,5
This product is poor. Very unsatisfactory quality.,0,product poor unsatisfactory quality,4
This product is okay. It's moderate but nothing special.,0,product okay moderate nothing special,5
Outstanding! The quality is excellent and fantastic.,1,outstanding quality excellent fantastic,4
Poor quality! Below expectations. worthless and horrible.,0,poor quality expectation worthless horrible,5
Outstanding! The quality is brilliant and outstanding.,1,outstanding quality brilliant outstanding,4
Perfect! Exactly what I needed. brilliant and excellent.,1,perfect exactly needed brilliant excellent,5
This product is horrible. Very bad quality.,0,product horrible bad quality,4
Impressive! Very great and superb design.,1,impressive great superb design,4
average product. Does the job. Nothing more.,0,average product job nothing,4
Disappointing! Very bad and poor design.,0,disappointing bad poor design,4
awful purchase. Completely disappointing. Not recommended.,0,awful purchase completely disappointing recommended,5
This product is horrible. Very disappointing quality.,0,product horrible disappointing quality,4
Terrible! The quality is horrible and unsatisfactory.,0,terrible quality horrible unsatisfactory,4
This product is wonderful! outstanding quality and great value.,1,product wonderful outstanding quality great value,6
fair product. Does the job. Nothing more.,0,fair product job nothing,4
Absolutely awful! Worst product ever. So useless.,0,absolutely awful worst product ever useless,6
Fantastic product! amazing and amazing. Worth every penny.,1,fantastic product amazing amazing worth every penny,7
Terrible! The quality is terrible and disappointing.,0,terrible quality terrible disappointing,4
Average quality. standard but not unsatisfactory.,1,average quality standard unsatisfactory,4
Fantastic product! superb and brilliant. Worth every penny.,1,fantastic product superb brilliant worth every penny,7
Average quality. moderate but not outstanding.,1,average quality moderate outstanding,4
Love it! perfect quality and brilliant service.,1,love perfect quality brilliant service,5
Awful! Not what I expected. defective and defective.,0,awful expected defective defective,4
wonderful purchase! Highly recommend. Very great.,1,wonderful purchase highly recommend great,5
This product is okay. It's fair but nothing special.,0,product okay fair nothing special,5
It's fine. moderate for the price.,1,fine moderate price,3
terrible experience! The product is defective and doesn't work.,0,terrible experience product defective doesnt work,6
standard product. Does the job. Nothing more.,0,standard product job nothing,4
Love it! excellent quality and brilliant service.,1,love excellent quality brilliant service,5
Absolutely outstanding! Best product I've bought. So fantastic.,1,absolutely outstanding best product ive bought fantastic,7
excellent experience! The product is fantastic and works perfectly.,1,excellent experience product fantastic work perfectly,6
This product is okay. It's decent but nothing special.,1,product okay decent nothing special,5
Absolutely poor! Worst product ever. So horrible.,0,absolutely poor worst product ever horrible,6
This product is excellent! perfect quality and great value.,1,product excellent perfect quality great value,6
Perfect! Exactly what I needed. great and outstanding.,1,perfect exactly needed great outstanding,5
This product is okay. It's standard but nothing special.,1,product okay standard nothing special,5
Terrible! The quality is useless and horrible.,0,terrible quality useless horrible,4
This product is terrible. Very unsatisfactory quality.,0,product terrible unsatisfactory quality,4
disappointing experience! The product is terrible and doesn't work.,0,disappointing experience product terrible doesnt work,6
Hate it! defective quality and horrible service.,0,hate defective quality horrible service,5
Love it! excellent quality and perfect service.,1,love excellent quality perfect service,5
amazing purchase! Highly recommend. Very fantastic.,1,amazing purchase highly recommend fantastic,5
Average quality. fair but not amazing.,0,average quality fair amazing,4
This product is terrible. Very defective quality.,0,product terrible defective quality,4
Fantastic product! brilliant and outstanding. Worth every penny.,1,fantastic product brilliant outstanding worth every penny,7
Horrible product! worthless and terrible. Waste of money.,0,horrible product worthless terrible waste money,6
Average quality. standard but not disappointing.,0,average quality standard disappointing,4
Terrible! The quality is terrible and disappointing.,0,terrible quality terrible disappointing,4
Excellent! Exceeded expectations. outstanding and perfect.,1,excellent exceeded expectation outstanding perfect,5
Outstanding! The quality is wonderful and superb.,1,outstanding quality wonderful superb,4
Horrible product! poor and unsatisfactory. Waste of money.,0,horrible product poor unsatisfactory waste money,6
This product is okay. It's moderate but nothing special.,0,product okay moderate nothing special,5
Fantastic product! great and outstanding. Worth every penny.,1,fantastic product great outstanding worth every penny,7
defective purchase. Completely disappointing. Not recommended.,0,defective purchase completely disappointing recommended,5
Poor quality! Below expectations. defective and bad.,0,poor quality expectation defective bad,5
worthless experience! The product is unsatisfactory and doesn't work.,0,worthless experience product unsatisfactory doesnt work,6
Outstanding! The quality is outstanding and wonderful.,1,outstanding quality outstanding wonderful,4
amazing experience! The product is awesome and works perfectly.,1,amazing experience product awesome work perfectly,6
Perfect! Exactly what I needed. perfect and awesome.,1,perfect exactly needed perfect awesome,5
Excellent! Exceeded expectations. fantastic and excellent.,1,excellent exceeded expectation fantastic excellent,5
Outstanding! The quality is awesome and wonderful.,1,outstanding quality awesome wonderful,4
Acceptable product. standard but could be better.,0,acceptable product standard could better,5
Impressive! Very wonderful and outstanding design.,1,impressive wonderful outstanding design,4
Perfect! Exactly what I needed. awesome and fantastic.,1,perfect exactly needed awesome fantastic,5
Impressive! Very great and brilliant design.,1,impressive great brilliant design,4
This product is outstanding! superb quality and great value.,1,product outstanding superb quality great value,6
Horrible product! unsatisfactory and useless. Waste of money.,0,horrible product unsatisfactory useless waste money,6
awful purchase. Completely worthless. Not recommended.,0,awful purchase completely worthless recommended,5
Excellent! Exceeded expectations. amazing and fantastic.,1,excellent exceeded expectation amazing fantastic,5
Poor quality! Below expectations. disappointing and horrible.,0,poor quality expectation disappointing horrible,5
Impressive! Very outstanding and superb design.,1,impressive outstanding superb design,4
bad purchase. Completely disappointing. Not recommended.,0,bad purchase completely disappointing recommended,5
Terrible! The quality is terrible and terrible.,0,terrible quality terrible terrible,4
Absolutely excellent! Best product I've bought. So brilliant.,1,absolutely excellent best product ive bought brilliant,7
Horrible product! worthless and worthless. Waste of money.,0,horrible product worthless worthless waste money,6
It's fine. moderate for the price.,1,fine moderate price,3
disappointing experience! The product is worthless and doesn't work.,0,disappointing experience product worthless doesnt work,6
Excellent! Exceeded expectations. perfect and amazing.,1,excellent exceeded expectation perfect amazing,5
Horrible product! poor and bad. Waste of money.,0,horrible product poor bad waste money,6
wonderful experience! The product is outstanding and works perfectly.,1,wonderful experience product outstanding work perfectly,6
Awful! Not what I expected. disappointing and awful.,0,awful expected disappointing awful,4
Impressive! Very amazing and superb design.,1,impressive amazing superb design,4
terrible purchase. Completely awful. Not recommended.,0,terrible purchase completely awful recommended,5
Fantastic product! great and excellent. Worth every penny.,1,fantastic product great excellent worth every penny,7
Terrible! The quality is poor and disappointing.,0,terrible quality poor disappointing,4
Average quality. decent but not unsatisfactory.,1,average quality decent unsatisfactory,4
Love it! brilliant quality and great service.,1,love brilliant quality great service,5
perfect experience! The product is wonderful and works perfectly.,1,perfect experience product wonderful work perfectly,6
This product is brilliant! superb quality and great value.,1,product brilliant superb quality great value,6
Impressive! Very perfect and great design.,1,impressive perfect great design,4
Disappointing! Very horrible and worthless design.,0,disappointing horrible worthless design,4
Awful! Not what I expected. horrible and defective.,0,awful expected horrible defective,4
This product is okay. It's fair but nothing special.,1,product okay fair nothing special,5
Hate it! terrible quality and awful service.,0,hate terrible quality awful service,5
Outstanding! The quality is excellent and great.,1,outstanding quality excellent great,4
Awful! Not what I expected. defective and terrible.,0,awful expected defective terrible,4
Terrible! The quality is unsatisfactory and horrible.,0,terrible quality unsatisfactory horrible,4
This product is superb! brilliant quality and great value.,1,product superb brilliant quality great value,6
Absolutely defective! Worst product ever. So useless.,0,absolutely defective worst product ever useless,6
wonderful purchase! Highly recommend. Very brilliant.,1,wonderful purchase highly recommend brilliant,5
Acceptable product. decent but could be better.,1,acceptable product decent could better,5
bad purchase. Completely disappointing. Not recommended.,0,bad purchase completely disappointing recommended,5
Awful! Not what I expected. awful and worthless.,0,awful expected awful worthless,4
average product. Does the job. Nothing more.,1,average product job nothing,4
Outstanding! The quality is superb and excellent.,1,outstanding quality superb excellent,4
okay product. Does the job. Nothing more.,0,okay product job nothing,4
Impressive! Very perfect and outstanding design.,1,impressive perfect outstanding design,4
Awful! Not what I expected. poor and disappointing.,0,awful expected poor disappointing,4
Impressive! Very great and amazing design.,1,impressive great amazing design,4
This product is useless. Very worthless quality.,0,product useless worthless quality,4
Absolutely worthless! Worst product ever. So horrible.,0,absolutely worthless worst product ever horrible,6
Acceptable product. average but could be better.,0,acceptable product average could better,5
Hate it! unsatisfactory quality and unsatisfactory service.,0,hate unsatisfactory quality unsatisfactory service,5
Terrible! The quality is disappointing and bad.,0,terrible quality disappointing bad,4
Disappointing! Very defective and unsatisfactory design.,0,disappointing defective unsatisfactory design,4
Hate it! useless quality and poor service.,0,hate useless quality poor service,5
bad experience! The product is terrible and doesn't work.,0,bad experience product terrible doesnt work,6
Absolutely useless! Worst product ever. So disappointing.,0,absolutely useless worst product ever disappointing,6
This product is worthless. Very horrible quality.,0,product worthless horrible quality,4
Absolutely brilliant! Best product I've bought. So wonderful.,1,absolutely brilliant best product ive bought wonderful,7
disappointing purchase. Completely awful. Not recommended.,0,disappointing purchase completely awful recommended,5
Hate it! bad quality and poor service.,0,hate bad quality poor service,5
Terrible! The quality is defective and worthless.,0,terrible quality defective worthless,4
Excellent! Exceeded expectations. fantastic and perfect.,1,excellent exceeded expectation fantastic perfect,5
brilliant experience! The product is wonderful and works perfectly.,1,brilliant experience product wonderful work perfectly,6
Disappointing! Very horrible and poor design.,0,disappointing horrible poor design,4
unsatisfactory experience! The product is bad and doesn't work.,0,unsatisfactory experience product bad doesnt work,6
Terrible! The quality is bad and awful.,0,terrible quality bad awful,4
Acceptable product. standard but could be better.,1,acceptable product standard could better,5
It's fine. okay for the price.,1,fine okay price,3
Hate it! poor quality and terrible service.,0,hate poor quality terrible service,5
Absolutely perfect! Best product I've bought. So wonderful.,1,absolutely perfect best product ive bought wonderful,7
Terrible! The quality is defective and disappointing.,0,terrible quality defective disappointing,4
This product is superb! brilliant quality and great value.,1,product superb brilliant quality great value,6
Love it! fantastic quality and brilliant service.,1,love fantastic quality brilliant service,5
Fantastic product! awesome and fantastic. Worth every penny.,1,fantastic product awesome fantastic worth every penny,7
Hate it! awful quality and defective service.,0,hate awful quality defective service,5
Fantastic product! great and wonderful. Worth every penny.,1,fantastic product great wonderful worth every penny,7
superb purchase! Highly recommend. Very wonderful.,1,superb purchase highly recommend wonderful,5
It's fine. average for the price.,1,fine average price,3
Perfect! Exactly what I needed. great and perfect.,1,perfect exactly needed great perfect,5
awesome experience! The product is great and works perfectly.,1,awesome experience product great work perfectly,6
Poor quality! Below expectations. awful and awful.,0,poor quality expectation awful awful,5
This product is great! fantastic quality and great value.,1,product great fantastic quality great value,6
Excellent! Exceeded expectations. superb and excellent.,1,excellent exceeded expectation superb excellent,5
Outstanding! The quality is amazing and superb.,1,outstanding quality amazing superb,4
Absolutely horrible! Worst product ever. So defective.,0,absolutely horrible worst product ever defective,6
It's fine. decent for the price.,1,fine decent price,3
average product. Does the job. Nothing more.,1,average product job nothing,4
Absolutely terrible! Worst product ever. So terrible.,0,absolutely terrible worst product ever terrible,6
Absolutely awful! Worst product ever. So poor.,0,absolutely awful worst product ever poor,6
Perfect! Exactly what I needed. amazing and brilliant.,1,perfect exactly needed amazing brilliant,5
great experience! The product is awesome and works perfectly.,1,great experience product awesome work perfectly,6
This product is terrible. Very worthless quality.,0,product terrible worthless quality,4
Impressive! Very excellent and perfect design.,1,impressive excellent perfect design,4
Terrible! The quality is defective and defective.,0,terrible quality defective defective,4
poor purchase. Completely disappointing. Not recommended.,0,poor purchase completely disappointing recommended,5
Hate it! terrible quality and terrible service.,0,hate terrible quality terrible service,5
Average quality. moderate but not unsatisfactory.,1,average quality moderate unsatisfactory,4
bad purchase. Completely horrible. Not recommended.,0,bad purchase completely horrible recommended,5
Love it! wonderful quality and fantastic service.,1,love wonderful quality fantastic service,5
Perfect! Exactly what I needed. outstanding and awesome.,1,perfect exactly needed outstanding awesome,5
Awful! Not what I expected. awful and terrible.,0,awful expected awful terrible,4
Hate it! horrible quality and defective service.,0,hate horrible quality defective service,5
Absolutely wonderful! Best product I've bought. So brilliant.,1,absolutely wonderful best product ive bought brilliant,7
This product is okay. It's average but nothing special.,0,product okay average nothing special,5
awful experience! The product is useless and doesn't work.,0,awful experience product useless doesnt work,6
It's fine. decent for the price.,1,fine decent price,3
fair product. Does the job. Nothing more.,1,fair product job nothing,4
excellent purchase! Highly recommend. Very fantastic.,1,excellent purchase highly recommend fantastic,5
This product is disappointing. Very terrible quality.,0,product disappointing terrible quality,4
disappointing purchase. Completely defective. Not recommended.,0,disappointing purchase completely defective recommended,5
Love it! brilliant quality and perfect service.,1,love brilliant quality perfect service,5
Absolutely unsatisfactory! Worst product ever. So poor.,0,absolutely unsatisfactory worst product ever poor,6
Horrible product! terrible and unsatisfactory. Waste of money.,0,horrible product terrible unsatisfactory waste money,6
fair product. Does the job. Nothing more.,0,fair product job nothing,4
outstanding experience! The product is fantastic and works perfectly.,1,outstanding experience product fantastic work perfectly,6
Awful! Not what I expected. awful and useless.,0,awful expected awful useless,4
Average quality. acceptable but not wonderful.,0,average quality acceptable wonderful,4
It's fine. okay for the price.,1,fine okay price,3
Awful! Not what I expected. bad and unsatisfactory.,0,awful expected bad unsatisfactory,4
Hate it! defective quality and defective service.,0,hate defective quality defective service,5
Love it! superb quality and wonderful service.,1,love superb quality wonderful service,5
acceptable product. Does the job. Nothing more.,0,acceptable product job nothing,4
Excellent! Exceeded expectations. great and awesome.,1,excellent exceeded expectation great awesome,5
brilliant experience! The product is awesome and works perfectly.,1,brilliant experience product awesome work perfectly,6
Fantastic product! great and wonderful. Worth every penny.,1,fantastic product great wonderful worth every penny,7
Absolutely perfect! Best product I've bought. So amazing.,1,absolutely perfect best product ive bought amazing,7
Poor quality! Below expectations. terrible and poor.,0,poor quality expectation terrible poor,5
Absolutely excellent! Best product I've bought. So fantastic.,1,absolutely excellent best product ive bought fantastic,7
Hate it! defective quality and unsatisfactory service.,0,hate defective quality unsatisfactory service,5
unsatisfactory experience! The product is unsatisfactory and doesn't work.,0,unsatisfactory experience product unsatisfactory doesnt work,6
Impressive! Very fantastic and great design.,1,impressive fantastic great design,4
bad experience! The product is bad and doesn't work.,0,bad experience product bad doesnt work,6
Perfect! Exactly what I needed. great and outstanding.,1,perfect exactly needed great outstanding,5
Horrible product! awful and useless. Waste of money.,0,horrible product awful useless waste money,6
Absolutely poor! Worst product ever. So useless.,0,absolutely poor worst product ever useless,6
Horrible product! poor and worthless. Waste of money.,0,horrible product poor worthless waste money,6
